Top_up_Credit_Card_ID,Amount,Credit_Card_Number,Wallet_ID,Top_Up_Date
CT00000398,21588.4,0053-5296-4794-3004,W000000398,2019-06-07
CT00000399,32693.54,7918-8303-9231-6433,W000000399,2020-09-11
CT00000400,26258.41,0258-4083-1112-2956,W000000400,2019-01-25
CT00000401,33861.16,2996-1122-3155-4723,W000000401,2021-04-14
CT00000402,4430.37,6120-5980-7457-3712,W000000402,2021-09-16
CT00000403,3277.44,6881-2496-3678-0536,W000000403,2019-08-14
CT00000404,5778.97,7060-2120-2259-8048,W000000404,2022-02-08
CT00000405,31559.22,3010-4698-3412-3274,W000000405,2019-05-25
CT00000406,27968.77,8425-5888-6179-6087,W000000406,2021-02-09
CT00000407,9497.69,5662-3895-6387-8405,W000000407,2019-04-27
CT00000408,34230.82,6894-9618-2664-4864,W000000408,2019-11-11
CT00000409,3285.94,3738-4154-0377-6471,W000000409,2020-06-26
CT00000410,12114.76,6337-4045-9313-2656,W000000410,2020-01-04
CT00000411,9990.48,5508-1176-0767-8513,W000000411,2019-10-26
CT00000412,32451.59,4189-0636-1953-0077,W000000412,2021-07-11
CT00000413,28084.02,9393-3433-1766-0439,W000000413,2021-12-12
CT00000414,28436.67,7282-9865-5737-9523,W000000414,2020-06-06
CT00000415,30927.72,6737-8946-3939-0580,W000000415,2021-03-11
CT00000416,21751.99,0509-8055-6266-3367,W000000416,2020-07-12
CT00000417,1213.6,3602-0906-4800-6339,W000000417,2019-08-02
CT00000418,983.35,0311-9021-6867-7522,W000000418,2020-10-15
CT00000419,10576.28,1713-2189-9822-1530,W000000419,2019-01-10
CT00000420,14589.52,8674-4497-6813-6916,W000000420,2019-07-13
CT00000421,23686.48,3919-7481-6064-1173,W000000421,2019-10-18
CT00000422,25847.56,2981-7989-9491-8016,W000000422,2019-08-19
CT00000423,23424.84,7018-2163-0719-4710,W000000423,2019-09-25
CT00000424,18052.5,4720-5391-7980-4382,W000000424,2019-12-01
CT00000425,13940.32,6381-6846-3219-4978,W000000425,2019-11-06
CT00000426,31399.96,2581-0976-2693-5960,W000000426,2021-12-09
CT00000427,18774.71,3338-5746-3044-7620,W000000427,2020-07-28
CT00000428,8409.68,5386-2381-8886-0752,W000000428,2022-01-15
CT00000429,31318.66,7877-1020-7383-5830,W000000429,2020-01-09
CT00000430,30990.46,8161-5925-0762-6076,W000000430,2019-12-02
CT00000431,2949.78,0891-2596-0059-2917,W000000431,2020-08-05
CT00000432,8079.34,1203-5182-7979-4805,W000000432,2021-05-26
CT00000433,9352.28,8308-7429-1584-7006,W000000433,2021-06-30
CT00000434,13423.45,4855-7177-0390-5171,W000000434,2021-04-17
CT00000435,19796.75,7061-4822-0198-9649,W000000435,2019-05-05
CT00000436,2760.42,1254-8823-9871-6808,W000000436,2019-09-03
CT00000437,32190.31,5456-5119-8168-9423,W000000437,2021-09-02
CT00000438,5986.72,9657-5691-9073-4649,W000000438,2022-02-20
CT00000439,7393.17,1113-9018-9152-8928,W000000439,2020-06-11
CT00000440,12890.37,9231-9456-5349-0447,W000000440,2021-03-03
CT00000441,28241.06,5424-5224-5497-1897,W000000441,2020-02-14
CT00000442,30892.8,5029-2970-6957-3286,W000000442,2021-10-15
CT00000443,32061.25,8642-8158-9819-8602,W000000443,2020-10-09
CT00000444,1755.86,4400-4838-9976-2519,W000000444,2021-04-20
CT00000445,6816.47,1297-1355-4421-3283,W000000445,2019-08-07
CT00000446,31927.44,1719-0631-5299-6152,W000000446,2020-02-15
CT00000447,4685.45,5562-6704-7476-2281,W000000447,2021-05-15
CT00000448,9934.47,1384-2160-2395-7824,W000000448,2021-07-12
CT00000449,11909.58,1787-4745-6893-9815,W000000449,2021-09-07
CT00000450,24614.89,8335-6390-3499-9976,W000000450,2022-01-31
CT00000451,29116.77,1759-0212-9459-5305,W000000451,2020-04-04
CT00000452,33094.93,4298-7527-8442-7424,W000000452,2019-03-27
CT00000453,2493.52,8944-0487-6952-2921,W000000453,2019-04-26
CT00000454,16486.69,4399-7581-4241-2243,W000000454,2019-01-14
CT00000455,9775.88,1400-9716-5852-1671,W000000455,2020-10-12
CT00000456,34068.04,6022-0610-6069-6725,W000000456,2019-04-13
CT00000457,31892.01,2225-0831-9097-8463,W000000457,2020-08-05
CT00000458,23556.48,6671-6013-9269-6427,W000000458,2020-02-27
CT00000459,17357.05,9487-6426-6505-9411,W000000459,2019-06-12
CT00000460,398.74,0942-6941-9077-4481,W000000460,2019-06-02
CT00000461,13592.24,6950-7621-4187-3704,W000000461,2020-07-25
CT00000462,33671.89,7180-5906-6915-8860,W000000462,2020-05-17
CT00000463,7977.24,0383-1665-5932-1822,W000000463,2020-08-06
CT00000464,22677.38,9496-2544-0724-6213,W000000464,2020-01-21
CT00000465,21361.81,2490-6032-3861-9349,W000000465,2022-02-18
CT00000466,33732.9,6926-0372-5724-3509,W000000466,2020-06-10
CT00000467,3180.49,2851-8317-2033-7158,W000000467,2020-03-14
CT00000468,23013.16,2936-7718-3490-7392,W000000468,2019-11-09
CT00000469,1204.86,7151-2836-5751-8900,W000000469,2020-06-16
CT00000470,14768.49,7179-4043-1380-9496,W000000470,2020-08-24
CT00000471,14043.92,6732-5481-9684-8074,W000000471,2019-12-04
CT00000472,11840.64,6983-2118-2506-3023,W000000472,2019-08-16
CT00000473,12426.12,2133-0615-2444-3201,W000000473,2021-02-01
CT00000474,7910.27,4633-2539-6554-3055,W000000474,2020-05-20
CT00000475,34981.03,2936-7718-3490-7392,W000000475,2019-08-04
CT00000476,12067.68,4883-3390-6912-2107,W000000476,2022-03-12
CT00000477,27376.48,4593-2442-7016-3936,W000000477,2019-10-08
CT00000478,8202.09,7088-4497-9465-1359,W000000478,2019-12-06
CT00000479,12062.96,0120-4532-4291-7818,W000000479,2021-11-26
CT00000480,13893.01,6002-0142-9506-4168,W000000480,2020-05-09
CT00000481,19652.95,2506-5964-3641-3196,W000000481,2020-07-07
CT00000482,23588.99,5752-3206-7522-6243,W000000482,2020-04-01
CT00000483,34732.98,5167-0027-0377-8821,W000000483,2020-04-06
CT00000484,12533.04,7476-4144-5454-2530,W000000484,2020-07-02
CT00000485,28204.73,0437-8929-6169-9450,W000000485,2021-05-14
CT00000486,4147.55,2134-7810-1544-9307,W000000486,2020-04-26
CT00000487,14653.69,0685-7463-3774-6519,W000000487,2019-10-18
CT00000488,13532.44,2862-6315-9997-1606,W000000488,2021-05-09
CT00000489,10938.34,0579-0453-1910-6781,W000000489,2020-11-18
CT00000490,14407.87,9942-8183-5102-9749,W000000490,2021-01-21
CT00000491,24555.56,6791-9711-8426-4904,W000000491,2019-11-30
CT00000492,18162.62,7494-4247-3668-8747,W000000492,2021-07-26
CT00000493,6019.75,5621-3214-5971-3545,W000000493,2021-10-18
CT00000494,26074.81,3743-9566-7888-4374,W000000494,2019-09-12
CT00000495,27050.64,6100-7188-2341-2805,W000000495,2021-05-26
CT00000496,12598.49,8951-1317-0962-0430,W000000496,2019-08-07
CT00000497,25385.12,1752-1465-6917-2730,W000000497,2020-07-11
CT00000498,31361.27,5695-0819-4361-7383,W000000498,2021-11-09
CT00000499,26632.64,9811-8334-1973-5069,W000000499,2019-05-04
CT00000500,7238.87,8034-8432-4440-2633,W000000500,2021-08-20
CT00000501,18978.18,1382-3428-9818-5352,W000000501,2021-10-11
CT00000502,22168.18,8876-6084-4816-3401,W000000502,2021-05-20
CT00000503,30891.83,1784-5416-2759-8661,W000000503,2019-06-07
CT00000504,16668.14,7398-5384-1347-7178,W000000504,2021-05-30
CT00000505,30723.68,9942-8183-5102-9749,W000000505,2021-08-05
CT00000506,22550.72,8231-9386-7190-1497,W000000506,2019-05-30
CT00000507,27502.77,7590-9819-2982-8899,W000000507,2021-07-22
CT00000508,18553.68,9353-2994-0939-5947,W000000508,2019-01-09
CT00000509,14926.72,2157-2249-3682-7810,W000000509,2021-04-16
CT00000510,23613.35,8782-4028-5899-0648,W000000510,2020-04-29
CT00000511,12289.48,8659-1648-2132-5785,W000000511,2019-06-07
CT00000512,7120.61,9056-2060-2645-3878,W000000512,2020-03-07
CT00000513,15614.09,4528-8878-0294-1988,W000000513,2021-07-10
CT00000514,11120.48,7760-0401-5565-7641,W000000514,2021-08-27
CT00000515,13550.78,7199-1047-5165-0726,W000000515,2019-08-03
CT00000516,13348.72,2126-8126-4965-4547,W000000516,2021-08-15
CT00000517,28580.27,9606-8988-0492-5798,W000000517,2021-12-05
CT00000518,21119.63,3378-9334-9776-6308,W000000518,2021-04-23
CT00000519,19474.04,8057-6171-6324-6792,W000000519,2020-03-11
CT00000520,32958.84,3967-9973-1124-4712,W000000520,2019-05-11
CT00000521,15564.24,2305-7032-3269-0370,W000000521,2021-04-06
CT00000522,25158.77,8721-6399-2925-7924,W000000522,2021-01-19
CT00000523,33939.72,5577-3921-2338-6261,W000000523,2019-07-01
CT00000524,22015.57,3907-5192-5404-6692,W000000524,2021-01-27
CT00000525,24532.0,6640-0300-9904-5205,W000000525,2019-04-13
CT00000526,12409.35,4614-5846-5604-5865,W000000526,2019-03-29
CT00000527,22229.92,3602-0906-4800-6339,W000000527,2021-08-25
CT00000528,16619.43,4025-2184-2366-7738,W000000528,2019-12-17
CT00000529,16707.01,8731-7960-5838-0605,W000000529,2022-03-14
CT00000530,22670.18,5574-7335-7933-4942,W000000530,2019-05-10
CT00000531,24674.5,5158-9096-5199-1445,W000000531,2021-02-18
CT00000532,20551.8,2279-0382-7487-0268,W000000532,2019-04-16
CT00000533,8640.41,7886-2535-9701-5466,W000000533,2021-04-18
CT00000534,5588.74,8941-8949-2729-1102,W000000534,2019-01-19
CT00000535,12768.67,2506-9697-8266-0023,W000000535,2019-05-23
CT00000536,26299.69,1168-0598-9892-5832,W000000536,2021-09-25
CT00000537,22455.5,3154-5569-5726-7428,W000000537,2021-07-31
CT00000538,14240.77,2316-5047-5450-5315,W000000538,2021-11-16
CT00000539,3172.73,9873-2250-3011-0430,W000000539,2019-11-17
CT00000540,7301.68,1298-2182-8117-3828,W000000540,2021-06-01
CT00000541,18453.3,6139-4232-2143-9009,W000000541,2019-08-07
CT00000542,6034.04,3829-7349-7370-5214,W000000542,2021-09-29
CT00000543,20424.67,0506-8752-9207-0637,W000000543,2021-10-03
CT00000544,15516.72,1752-1465-6917-2730,W000000544,2021-10-31
CT00000545,1167.21,7877-9893-0280-0414,W000000545,2020-01-22
CT00000546,4080.5,8632-7495-9106-5257,W000000546,2019-09-04
CT00000547,21461.55,9102-4156-9392-1095,W000000547,2020-02-27
CT00000548,16076.86,5672-9807-6647-9483,W000000548,2021-08-06
CT00000549,34088.34,3944-3111-7647-1311,W000000549,2020-01-09
CT00000550,31226.03,8632-7495-9106-5257,W000000550,2020-06-30
CT00000551,5326.79,3908-0760-0573-6100,W000000551,2019-10-24
CT00000552,20523.25,5415-9745-6015-2276,W000000552,2021-11-04
CT00000553,959.21,6640-0300-9904-5205,W000000553,2020-07-19
CT00000554,751.18,3382-7095-8335-4940,W000000554,2019-11-22
CT00000555,31928.73,2468-2233-9395-1340,W000000555,2021-08-04
CT00000556,19682.74,0550-6727-9220-2715,W000000556,2021-01-19
CT00000557,962.21,4958-5997-9910-9833,W000000557,2020-03-10
CT00000558,10568.11,6625-3671-0322-2458,W000000558,2019-09-22
CT00000559,4653.19,7978-7429-5009-1430,W000000559,2021-04-29
CT00000560,18077.8,5292-4415-1877-8485,W000000560,2020-09-11
CT00000561,29944.07,8227-8470-4929-4214,W000000561,2020-10-10
CT00000562,6415.25,9963-9623-5664-7351,W000000562,2020-08-26
CT00000563,34097.79,8601-0920-8034-4307,W000000563,2021-09-08
CT00000564,8976.89,8063-1672-3553-1873,W000000564,2019-04-09
CT00000565,12947.94,4788-2521-5653-7550,W000000565,2020-12-18
CT00000566,27463.83,9281-4358-2531-7157,W000000566,2021-02-01
CT00000567,14774.88,1014-3843-3455-5941,W000000567,2019-11-13
CT00000568,22641.93,8229-5364-6609-9221,W000000568,2020-08-05
CT00000569,3537.46,6100-7188-2341-2805,W000000569,2021-08-07
CT00000570,19834.64,3496-0491-1018-5071,W000000570,2019-06-25
CT00000571,34417.18,4357-3997-5815-3739,W000000571,2020-04-13
CT00000572,14311.52,6816-5945-1522-5757,W000000572,2021-04-18
CT00000573,27775.99,8475-5831-8551-2767,W000000573,2022-02-08
CT00000574,477.01,7720-1591-8107-6374,W000000574,2021-07-29
CT00000575,6696.25,8875-2278-7829-8371,W000000575,2021-03-19
CT00000576,4478.69,9624-4948-9762-1417,W000000576,2021-03-19
CT00000577,17052.89,1432-2324-4643-4901,W000000577,2020-08-30
CT00000578,5655.56,4015-3695-2433-9159,W000000578,2019-08-13
CT00000579,30599.08,8161-5925-0762-6076,W000000579,2019-09-13
CT00000580,16794.98,4184-0522-2013-4362,W000000580,2021-05-26
CT00000581,17588.2,7418-5755-0498-4289,W000000581,2019-03-25
CT00000582,29163.5,7070-4635-6385-4569,W000000582,2019-04-07
CT00000583,33604.2,3764-6066-6025-2026,W000000583,2019-12-21
CT00000584,12192.45,6094-6157-1355-6707,W000000584,2020-09-15
CT00000585,10796.75,9624-4948-9762-1417,W000000585,2019-12-03
CT00000586,10725.19,6144-3642-0605-8158,W000000586,2020-06-29
CT00000587,26255.63,1340-4083-0321-5262,W000000587,2020-09-27
CT00000588,29476.4,5054-7865-7851-6679,W000000588,2021-11-07
CT00000589,3673.05,1383-2039-4456-9386,W000000589,2020-08-26
CT00000590,15265.08,0117-3210-4656-8969,W000000590,2020-06-29
CT00000591,30525.48,5989-1941-7281-7016,W000000591,2020-03-30
CT00000592,19142.69,2823-8955-8553-4307,W000000592,2019-08-13
CT00000593,19832.44,2013-2737-9892-4089,W000000593,2019-06-11
CT00000594,18071.95,9097-6891-6250-7173,W000000594,2019-01-20
CT00000595,10432.5,6656-7249-0943-5815,W000000595,2020-04-04
CT00000596,31382.75,8308-7429-1584-7006,W000000596,2019-08-14
CT00000597,13563.27,4300-4724-3644-5086,W000000597,2021-11-14
CT00000598,18701.03,1324-5202-3525-4889,W000000598,2021-12-31
CT00000599,2717.51,2119-9526-4278-9914,W000000599,2020-11-07
CT00000600,11640.87,7061-0869-4916-0526,W000000600,2021-01-28
CT00000601,14021.1,1158-8628-5817-5935,W000000601,2021-10-08
CT00000602,27392.27,3970-1010-6531-0666,W000000602,2021-12-10
CT00000603,24661.41,5530-1570-2693-9196,W000000603,2019-12-22
CT00000604,20172.16,9657-5691-9073-4649,W000000604,2020-10-12
CT00000605,17850.9,3492-7807-3737-8689,W000000605,2019-07-22
CT00000606,8569.54,8034-8432-4440-2633,W000000606,2021-12-15
CT00000607,21886.24,5510-7158-5308-8281,W000000607,2021-06-05
CT00000608,21414.14,2150-5971-5900-2246,W000000608,2021-03-03
CT00000609,6054.76,4493-5026-0444-2644,W000000609,2019-03-02
CT00000610,8172.16,0013-1315-6784-9061,W000000610,2021-09-04
CT00000611,9266.06,9121-4680-5929-0808,W000000611,2020-03-21
CT00000612,31517.77,9671-1987-0936-1688,W000000612,2019-01-07
CT00000613,29318.98,1898-9265-2160-2628,W000000613,2019-03-07
CT00000614,21636.86,7785-4428-5703-3798,W000000614,2019-10-10
CT00000615,641.74,4827-4773-0722-9505,W000000615,2020-09-29
CT00000616,8601.11,6787-3421-3360-6702,W000000616,2020-08-18
CT00000617,11248.31,9383-5360-8431-1274,W000000617,2021-01-08
CT00000618,2722.34,2629-3169-3059-6874,W000000618,2021-05-14
CT00000619,24250.1,8562-8895-6442-5877,W000000619,2021-12-01
CT00000620,7596.22,6114-3426-8343-6403,W000000620,2020-11-23
CT00000621,22318.87,1579-1688-2344-5394,W000000621,2021-06-21
CT00000622,7959.2,1972-9676-4483-3347,W000000622,2020-04-20
CT00000623,17272.93,2116-2533-8083-5342,W000000623,2021-09-30
CT00000624,3972.14,7473-0996-6711-9447,W000000624,2019-04-06
CT00000625,224.55,7341-8048-4492-2293,W000000625,2021-12-04
CT00000626,7809.32,9016-2149-8776-2880,W000000626,2021-07-10
CT00000627,17939.36,2757-9619-4247-0577,W000000627,2021-09-09
CT00000628,19987.78,1348-7429-0166-3789,W000000628,2020-02-01
CT00000629,17105.44,1245-9908-3761-2315,W000000629,2021-07-08
CT00000630,20176.6,0841-6489-6006-4663,W000000630,2021-09-13
CT00000631,34525.91,5795-6625-5308-4593,W000000631,2021-04-30
CT00000632,10770.54,9830-0287-9775-6505,W000000632,2020-02-28
CT00000633,32801.19,2093-7958-7194-3259,W000000633,2019-02-18
CT00000634,32561.65,3890-6715-6910-2521,W000000634,2020-02-05
CT00000635,34426.55,6134-8155-6762-9911,W000000635,2019-05-04
CT00000636,21884.59,5329-7459-5450-7777,W000000636,2020-04-14
CT00000637,30884.7,1168-0598-9892-5832,W000000637,2021-07-03
CT00000638,15953.55,3418-6295-9847-0612,W000000638,2021-06-13
CT00000639,18930.58,1041-0584-3603-2125,W000000639,2019-04-17
CT00000640,13859.88,0334-6919-6529-0244,W000000640,2019-12-18
CT00000641,18984.19,2690-0531-3984-2752,W000000641,2021-06-14
CT00000642,7409.04,7914-8495-9334-4782,W000000642,2019-11-19
CT00000643,27102.53,1961-8476-9425-3021,W000000643,2020-06-25
CT00000644,15161.85,4968-2867-8240-1592,W000000644,2019-08-30
CT00000645,31983.2,3806-8782-7498-4612,W000000645,2021-03-18
CT00000646,23962.2,0802-3376-1700-4647,W000000646,2021-09-10
CT00000647,27283.75,3620-4329-1895-9004,W000000647,2019-07-30
CT00000648,31431.37,1386-6364-4548-7479,W000000648,2019-07-26
CT00000649,21178.84,6983-2118-2506-3023,W000000649,2019-08-13
CT00000650,15878.13,3135-2348-7689-9393,W000000650,2021-08-10
CT00000651,22762.91,8308-0565-1232-2046,W000000651,2020-08-16
CT00000652,10028.66,5197-0671-8311-3623,W000000652,2021-04-28
CT00000653,19784.34,8390-9619-3186-0493,W000000653,2021-07-11
CT00000654,3619.64,1383-2039-4456-9386,W000000654,2019-09-05
CT00000655,13827.71,2909-3062-9844-3431,W000000655,2022-01-31
CT00000656,31602.31,6328-9466-2447-8058,W000000656,2021-07-17
CT00000657,31889.37,6171-9495-9247-4345,W000000657,2020-11-15
CT00000658,22571.9,2490-6032-3861-9349,W000000658,2021-09-08
CT00000659,3673.66,6550-2220-7604-1345,W000000659,2019-10-13
CT00000660,23551.0,3738-4154-0377-6471,W000000660,2019-07-02
CT00000661,33008.4,0044-4102-2621-2275,W000000661,2019-01-09
CT00000662,28596.13,6392-1650-8723-1372,W000000662,2020-11-05
CT00000663,14215.14,2687-0350-7490-1420,W000000663,2020-10-29
CT00000664,18493.77,5813-9787-8495-3882,W000000664,2021-11-20
CT00000665,24727.84,6950-7621-4187-3704,W000000665,2020-04-12
CT00000666,22920.26,1734-9768-4726-0702,W000000666,2019-01-03
CT00000667,4891.75,4727-9861-6397-8552,W000000667,2020-02-20
CT00000668,9093.16,9360-0259-4927-0068,W000000668,2019-04-26
CT00000669,991.99,1477-2340-0064-9584,W000000669,2020-02-09
CT00000670,19122.39,6483-7256-8192-9986,W000000670,2020-04-25
CT00000671,11943.0,0722-2636-2231-3352,W000000671,2021-03-27
CT00000672,32952.18,3834-8050-4161-3574,W000000672,2020-09-27
CT00000673,15703.69,7418-5755-0498-4289,W000000673,2019-01-16
CT00000674,11777.25,5665-9108-2812-1123,W000000674,2019-05-29
CT00000675,28253.71,3188-7750-9652-2378,W000000675,2021-12-04
CT00000676,7613.82,9347-1946-3959-2831,W000000676,2020-11-15
CT00000677,2426.52,4199-5548-1781-9617,W000000677,2019-11-15
CT00000678,5967.68,3222-6590-1188-3597,W000000678,2021-05-28
CT00000679,32493.43,0252-7433-2654-8354,W000000679,2020-06-22
CT00000680,17415.76,1182-2697-6674-5496,W000000680,2019-01-01
CT00000681,14847.24,6171-9495-9247-4345,W000000681,2022-02-11
CT00000682,34041.28,3652-7904-6204-4419,W000000682,2021-11-03
CT00000683,10556.99,7334-2655-0570-0932,W000000683,2019-02-26
CT00000684,24621.92,5621-3214-5971-3545,W000000684,2020-11-09
CT00000685,30581.21,9190-8218-0295-9874,W000000685,2021-07-26
CT00000686,21334.4,6719-7009-6043-5668,W000000686,2019-06-06
CT00000687,24860.04,6881-6511-6876-3828,W000000687,2021-12-10
CT00000688,19328.06,2225-1837-1330-0988,W000000688,2021-03-10
CT00000689,2518.73,0135-2210-8424-4612,W000000689,2022-02-08
CT00000690,25713.74,8937-8586-6955-2248,W000000690,2020-02-11
CT00000691,26645.91,3267-2648-9058-9943,W000000691,2020-02-09
CT00000692,21093.79,1452-5592-2804-8840,W000000692,2020-11-10
CT00000693,25065.33,8161-5925-0762-6076,W000000693,2020-06-14
CT00000694,27897.6,1686-9518-2857-6965,W000000694,2021-02-03
CT00000695,15611.48,3754-7559-3179-9910,W000000695,2020-05-04
CT00000696,10991.12,8162-3360-2377-6601,W000000696,2019-11-04
CT00000697,9286.41,9077-6472-3296-8864,W000000697,2020-06-07
CT00000698,25082.53,6881-6511-6876-3828,W000000698,2019-07-29
CT00000699,17053.38,7400-5381-8058-1417,W000000699,2021-02-18
CT00000700,34608.14,0117-1596-1163-7988,W000000700,2021-01-11
CT00000701,774.18,0928-6300-6980-1374,W000000701,2019-08-18
CT00000702,14477.55,4357-3997-5815-3739,W000000702,2020-02-18
CT00000703,25793.96,7524-8990-4256-1687,W000000703,2019-02-23
CT00000704,29358.41,5626-5606-9580-8013,W000000704,2021-11-23
CT00000705,534.28,3764-6066-6025-2026,W000000705,2021-11-09
CT00000706,19058.2,8855-5184-9591-1250,W000000706,2021-09-06
CT00000707,6303.9,9657-5691-9073-4649,W000000707,2021-12-03
CT00000708,8763.15,2348-4932-2421-4074,W000000708,2021-08-12
CT00000709,18741.73,0709-3849-0123-7195,W000000709,2019-06-14
CT00000710,22209.66,7496-7622-5480-7408,W000000710,2019-08-13
CT00000711,8023.6,9044-7088-9552-0248,W000000711,2020-09-07
CT00000712,22993.02,8950-5133-3090-5292,W000000712,2019-12-09
CT00000713,30753.67,6131-5636-0541-5339,W000000713,2020-06-14
CT00000714,23352.32,3764-6066-6025-2026,W000000714,2022-01-19
CT00000715,17804.91,0579-0453-1910-6781,W000000715,2020-09-15
CT00000716,11766.42,6374-8443-4242-8346,W000000716,2020-01-28
CT00000717,16653.68,5180-5912-3469-5173,W000000717,2019-05-31
CT00000718,25054.79,0185-9990-5139-7209,W000000718,2021-01-05
CT00000719,16649.21,4462-1381-0909-7145,W000000719,2019-04-26
CT00000720,23727.03,3141-1975-1045-1157,W000000720,2021-08-31
CT00000721,27142.29,8554-8151-0891-8176,W000000721,2021-03-26
CT00000722,18726.56,4855-7177-0390-5171,W000000722,2020-03-05
CT00000723,5171.03,2909-3062-9844-3431,W000000723,2019-06-04
CT00000724,19072.76,7496-7622-5480-7408,W000000724,2019-04-05
CT00000725,17179.9,3167-4856-8463-2482,W000000725,2020-07-28
CT00000726,10488.17,2152-1604-4099-7204,W000000726,2020-11-12
CT00000727,25960.16,9580-2258-9303-0120,W000000727,2019-06-21
CT00000728,8593.71,9760-8479-3612-8487,W000000728,2020-02-20
CT00000729,22600.62,3784-2585-9859-5964,W000000729,2019-02-18
CT00000730,23954.46,6452-3089-2233-0064,W000000730,2019-07-22
CT00000731,15214.26,6483-7256-8192-9986,W000000731,2020-06-30
CT00000732,3658.94,5508-4548-6483-1839,W000000732,2019-01-15
CT00000733,17705.25,2386-5146-2424-0358,W000000733,2019-12-08
CT00000734,20392.98,9671-1987-0936-1688,W000000734,2019-01-17
CT00000735,18340.6,1157-5014-2423-4602,W000000735,2021-09-10
CT00000736,24855.7,0383-1665-5932-1822,W000000736,2021-05-23
CT00000737,7407.0,9872-6624-8157-8973,W000000737,2021-12-09
CT00000738,997.15,7307-2644-0419-4707,W000000738,2021-07-21
CT00000739,23821.02,9534-6382-6550-0772,W000000739,2019-03-08
CT00000740,29612.5,2119-9526-4278-9914,W000000740,2022-02-08
CT00000741,21760.45,0408-5527-3866-7580,W000000741,2019-02-12
CT00000742,762.11,4705-1504-0883-0720,W000000742,2019-08-02
CT00000743,8746.22,1418-4055-1894-6468,W000000743,2019-09-21
CT00000744,23987.97,6719-7009-6043-5668,W000000744,2019-12-03
CT00000745,27302.2,0927-8146-1602-2124,W000000745,2020-04-17
CT00000746,24514.07,4782-3613-7741-2263,W000000746,2020-08-31
CT00000747,13454.75,6574-3876-4400-7239,W000000747,2019-09-19
CT00000748,11491.91,9272-9325-5133-9971,W000000748,2020-05-19
CT00000749,25237.76,2053-4349-6891-7183,W000000749,2021-12-27
CT00000750,6281.35,3388-5483-3594-5805,W000000750,2020-08-21
CT00000751,20147.7,1168-0598-9892-5832,W000000751,2019-05-30
CT00000752,30394.06,7923-4275-8790-2749,W000000752,2021-07-19
CT00000753,19869.33,1078-8351-7293-6613,W000000753,2019-01-29
CT00000754,24914.37,7323-1008-4365-6207,W000000754,2019-04-14
CT00000755,9143.02,1383-2039-4456-9386,W000000755,2020-03-13
CT00000756,8363.88,0774-3815-1685-6421,W000000756,2020-08-01
CT00000757,16160.55,2375-6261-0151-5531,W000000757,2020-04-09
CT00000758,27954.74,3669-3522-2734-1029,W000000758,2021-10-22
CT00000759,12426.56,1579-1688-2344-5394,W000000759,2019-08-21
CT00000760,8254.87,0208-4954-3796-9087,W000000760,2019-11-05
CT00000761,18815.55,6225-2365-4964-9126,W000000761,2021-05-14
CT00000762,4905.03,9038-4349-6014-4683,W000000762,2020-09-25
CT00000763,9402.63,3186-8121-2988-4852,W000000763,2020-04-03
CT00000764,22055.6,2152-1604-4099-7204,W000000764,2020-09-15
CT00000765,9363.96,4411-1387-8269-1026,W000000765,2020-06-28
CT00000766,19742.53,9077-6472-3296-8864,W000000766,2020-02-01
CT00000767,4019.04,1216-1877-6320-9308,W000000767,2021-05-30
CT00000768,26931.64,2862-6315-9997-1606,W000000768,2020-01-27
CT00000769,3973.81,6620-9581-1584-1065,W000000769,2022-01-12
CT00000770,6250.57,3461-0126-3051-4418,W000000770,2021-09-10
CT00000771,3440.63,2084-6473-4185-4806,W000000771,2019-07-01
CT00000772,1678.44,9141-4765-4789-6654,W000000772,2019-01-28
CT00000773,22051.92,0878-7508-0319-6115,W000000773,2020-10-23
CT00000774,10048.83,1144-3673-7069-6228,W000000774,2020-07-07
CT00000775,1194.74,2773-3887-3860-0881,W000000775,2021-12-13
CT00000776,16352.86,2490-6032-3861-9349,W000000776,2021-10-14
CT00000777,6553.36,3725-5608-0514-1867,W000000777,2021-10-13
CT00000778,27982.06,4782-3613-7741-2263,W000000778,2020-03-03
CT00000779,32476.26,4831-4768-6351-6938,W000000779,2021-11-18
CT00000780,27778.79,6019-1514-4209-8487,W000000780,2020-03-25
CT00000781,9690.1,9024-6604-1518-6911,W000000781,2021-08-29
CT00000782,2502.18,3494-0376-6569-6352,W000000782,2019-01-10
CT00000783,14596.35,4400-4838-9976-2519,W000000783,2020-02-12
CT00000784,12261.45,2265-7466-3682-9935,W000000784,2020-04-03
CT00000785,28657.14,1976-1746-2143-2645,W000000785,2019-03-10
CT00000786,10508.03,1872-1947-5386-7014,W000000786,2022-02-18
CT00000787,8872.18,0334-6919-6529-0244,W000000787,2022-03-14
CT00000788,24230.28,0187-9738-9580-1758,W000000788,2020-11-21
CT00000789,12173.47,9897-1034-9661-4701,W000000789,2019-01-16
CT00000790,32865.54,9010-9252-2016-8012,W000000790,2019-01-10
CT00000791,17220.46,4375-8967-5762-1343,W000000791,2021-10-15
CT00000792,14533.58,6867-7348-4573-2132,W000000792,2021-12-19
CT00000793,15525.42,3267-9514-2518-1523,W000000793,2019-07-12
CT00000794,10217.4,6990-1465-8451-7618,W000000794,2021-05-15
CT00000795,33327.52,8226-3808-2616-4152,W000000795,2020-05-06
CT00000796,32798.25,1149-6484-3008-0408,W000000796,2020-04-17
