Top_up_Dedit_Card_ID,Amount,Debit_Card_Number,Wallet_ID,Top_Up_Date
DT00000398,11238.03,8164-4121-2184-4664,W000000398,2019-06-07
DT00000399,1273.7,9417-9445-8718-0116,W000000399,2020-09-11
DT00000400,32370.77,8697-8333-3778-3700,W000000400,2019-01-25
DT00000401,13411.31,9512-0292-5138-7435,W000000401,2021-04-14
DT00000402,13787.06,6966-9634-7325-6979,W000000402,2021-09-16
DT00000403,30980.35,9929-0896-2730-6062,W000000403,2019-08-14
DT00000404,31225.79,6733-0729-0249-7426,W000000404,2022-02-08
DT00000405,34306.89,6030-7785-8234-4927,W000000405,2019-05-25
DT00000406,17593.22,2338-8956-1496-8578,W000000406,2021-02-09
DT00000407,9412.41,9421-3817-1361-3441,W000000407,2019-04-27
DT00000408,9313.3,4437-4015-9803-3885,W000000408,2019-11-11
DT00000409,28081.25,3093-5782-3735-2886,W000000409,2020-06-26
DT00000410,7869.97,3873-8852-3562-4435,W000000410,2020-01-04
DT00000411,24981.57,0803-5431-7744-7743,W000000411,2019-10-26
DT00000412,15751.94,3866-7395-2934-6551,W000000412,2021-07-11
DT00000413,13727.75,5757-4369-9847-4608,W000000413,2021-12-12
DT00000414,20244.5,7969-3569-5736-4675,W000000414,2020-06-06
DT00000415,16935.95,5456-8699-5124-9139,W000000415,2021-03-11
DT00000416,19822.39,0078-6997-9076-7994,W000000416,2020-07-12
DT00000417,7301.51,4335-6467-7189-8583,W000000417,2019-08-02
DT00000418,11619.65,2950-5155-5060-9628,W000000418,2020-10-15
DT00000419,5933.56,2924-5769-6981-0972,W000000419,2019-01-10
DT00000420,11028.49,8470-4526-9900-6936,W000000420,2019-07-13
DT00000421,33582.62,8214-8696-6853-3673,W000000421,2019-10-18
DT00000422,19538.87,1926-0413-4266-7482,W000000422,2019-08-19
DT00000423,18950.04,0374-4098-5708-9079,W000000423,2019-09-25
DT00000424,8600.41,4080-6498-6842-3691,W000000424,2019-12-01
DT00000425,28485.82,9417-9445-8718-0116,W000000425,2019-11-06
DT00000426,29734.46,9853-0487-0991-3168,W000000426,2021-12-09
DT00000427,32223.7,7002-1182-6340-8206,W000000427,2020-07-28
DT00000428,30375.87,3459-0937-3553-8444,W000000428,2022-01-15
DT00000429,16080.81,1964-9052-4046-4371,W000000429,2020-01-09
DT00000430,13576.46,1383-2595-5790-8540,W000000430,2019-12-02
DT00000431,16633.23,1072-4624-8126-9878,W000000431,2020-08-05
DT00000432,27137.36,3866-5419-9736-9668,W000000432,2021-05-26
DT00000433,21057.03,0816-1135-6256-5779,W000000433,2021-06-30
DT00000434,13691.09,3883-8775-1953-3712,W000000434,2021-04-17
DT00000435,18977.13,5575-6990-3239-8322,W000000435,2019-05-05
DT00000436,19647.31,0426-6325-7723-6125,W000000436,2019-09-03
DT00000437,15714.11,0137-3626-0237-0125,W000000437,2021-09-02
DT00000438,15995.29,3735-0740-9329-4839,W000000438,2022-02-20
DT00000439,1352.56,3958-4801-4220-7497,W000000439,2020-06-11
DT00000440,14044.54,8404-8383-2084-6804,W000000440,2021-03-03
DT00000441,22296.68,1618-0417-9056-4437,W000000441,2020-02-14
DT00000442,22143.13,9964-1815-1555-5706,W000000442,2021-10-15
DT00000443,16354.01,1227-9582-6266-2068,W000000443,2020-10-09
DT00000444,34095.86,2172-0418-7081-4833,W000000444,2021-04-20
DT00000445,12630.25,9840-4093-8115-1906,W000000445,2019-08-07
DT00000446,3025.34,2616-8181-4357-9032,W000000446,2020-02-15
DT00000447,8433.54,8250-2054-4338-8243,W000000447,2021-05-15
DT00000448,8542.44,5226-7804-4008-6747,W000000448,2021-07-12
DT00000449,24227.44,6308-4383-2559-5657,W000000449,2021-09-07
DT00000450,33301.91,2720-6599-9943-7103,W000000450,2022-01-31
DT00000451,342.31,2056-0949-6704-1707,W000000451,2020-04-04
DT00000452,12135.81,4410-2772-9963-5720,W000000452,2019-03-27
DT00000453,13726.77,4859-4401-0741-0593,W000000453,2019-04-26
DT00000454,22868.48,2626-0626-9112-0385,W000000454,2019-01-14
DT00000455,5630.08,7134-6853-4733-2828,W000000455,2020-10-12
DT00000456,28343.07,8209-8941-0314-0118,W000000456,2019-04-13
DT00000457,16946.73,1529-7615-8340-6846,W000000457,2020-08-05
DT00000458,32955.7,7805-7345-1989-3773,W000000458,2020-02-27
DT00000459,4948.52,7402-7379-1711-1143,W000000459,2019-06-12
DT00000460,21379.77,0816-9330-0788-8771,W000000460,2019-06-02
DT00000461,1362.2,2448-5698-8318-1964,W000000461,2020-07-25
DT00000462,14141.89,4514-5993-5450-7361,W000000462,2020-05-17
DT00000463,804.12,1150-9351-5028-8303,W000000463,2020-08-06
DT00000464,24952.76,3816-5624-1806-1830,W000000464,2020-01-21
DT00000465,5218.9,5638-5152-0100-0743,W000000465,2022-02-18
DT00000466,23644.74,9116-0079-8560-3494,W000000466,2020-06-10
DT00000467,9217.43,2038-6086-7717-7204,W000000467,2020-03-14
DT00000468,12504.18,4852-4811-7592-4020,W000000468,2019-11-09
DT00000469,10334.92,5191-5590-0423-7359,W000000469,2020-06-16
DT00000470,10765.68,0562-3832-7193-7281,W000000470,2020-08-24
DT00000471,25320.75,4077-0356-2642-1672,W000000471,2019-12-04
DT00000472,20436.99,1264-7483-6134-8064,W000000472,2019-08-16
DT00000473,22514.68,7637-5276-3247-9661,W000000473,2021-02-01
DT00000474,32511.43,1964-2173-6947-3476,W000000474,2020-05-20
DT00000475,20238.14,8177-2020-3143-2706,W000000475,2019-08-04
DT00000476,23585.26,6630-0426-6002-8666,W000000476,2022-03-12
DT00000477,20914.47,6328-6130-9778-5480,W000000477,2019-10-08
DT00000478,20622.74,1276-1631-2414-3107,W000000478,2019-12-06
DT00000479,10491.67,1872-2744-5345-3494,W000000479,2021-11-26
DT00000480,18894.19,0678-5444-5680-4301,W000000480,2020-05-09
DT00000481,12677.21,0651-8324-6535-4746,W000000481,2020-07-07
DT00000482,19765.3,6695-5573-4261-3181,W000000482,2020-04-01
DT00000483,21474.21,9034-4481-1689-3832,W000000483,2020-04-06
DT00000484,31519.62,9994-3601-1948-2611,W000000484,2020-07-02
DT00000485,13756.7,4261-1843-3348-8850,W000000485,2021-05-14
DT00000486,5835.96,1467-0169-8201-4460,W000000486,2020-04-26
DT00000487,25938.44,6654-3133-7867-3872,W000000487,2019-10-18
DT00000488,11610.0,0902-2798-1607-9647,W000000488,2021-05-09
DT00000489,1199.9,7217-0610-9339-7697,W000000489,2020-11-18
DT00000490,26502.31,2837-6746-5140-0661,W000000490,2021-01-21
DT00000491,11965.07,2008-7588-4804-0079,W000000491,2019-11-30
DT00000492,22965.77,7679-4781-6248-3380,W000000492,2021-07-26
DT00000493,34709.88,1707-1285-2177-9900,W000000493,2021-10-18
DT00000494,28905.51,4132-0897-3683-7383,W000000494,2019-09-12
DT00000495,19043.1,0397-2369-8986-5032,W000000495,2021-05-26
DT00000496,11412.6,1302-4456-6758-7475,W000000496,2019-08-07
DT00000497,24610.87,8438-7560-8003-2937,W000000497,2020-07-11
DT00000498,33120.97,3459-8789-5260-4935,W000000498,2021-11-09
DT00000499,513.13,2186-2081-2151-4567,W000000499,2019-05-04
DT00000500,14574.24,3186-0711-2254-8665,W000000500,2021-08-20
DT00000501,13818.98,5767-6629-9152-2139,W000000501,2021-10-11
DT00000502,27553.63,7848-9223-5352-7946,W000000502,2021-05-20
DT00000503,3978.89,7697-4234-6919-8744,W000000503,2019-06-07
DT00000504,13686.46,0492-4780-7486-7447,W000000504,2021-05-30
DT00000505,11010.73,4761-4937-8042-2851,W000000505,2021-08-05
DT00000506,2448.56,2196-7334-2185-6569,W000000506,2019-05-30
DT00000507,6581.71,3333-4388-2483-8606,W000000507,2021-07-22
DT00000508,20133.22,9318-8948-6994-3052,W000000508,2019-01-09
DT00000509,25249.27,6820-2019-7218-4819,W000000509,2021-04-16
DT00000510,16672.13,3431-4925-6739-9103,W000000510,2020-04-29
DT00000511,15395.02,0062-2011-7312-6118,W000000511,2019-06-07
DT00000512,6288.45,1460-3623-5422-8247,W000000512,2020-03-07
DT00000513,26444.82,1835-2138-9888-8274,W000000513,2021-07-10
DT00000514,5715.69,9074-8017-9954-1992,W000000514,2021-08-27
DT00000515,22952.32,0872-5615-9412-4244,W000000515,2019-08-03
DT00000516,17102.77,4514-5993-5450-7361,W000000516,2021-08-15
DT00000517,26038.27,0272-4298-2366-9911,W000000517,2021-12-05
DT00000518,17881.57,8713-2621-9449-8913,W000000518,2021-04-23
DT00000519,12833.01,8541-1334-4626-9179,W000000519,2020-03-11
DT00000520,11585.1,3131-8405-0999-3682,W000000520,2019-05-11
DT00000521,6125.42,8004-5488-6115-9439,W000000521,2021-04-06
DT00000522,12058.23,8579-7333-1297-9546,W000000522,2021-01-19
DT00000523,15970.84,1262-3879-1361-2906,W000000523,2019-07-01
DT00000524,9759.94,5536-4974-3184-3426,W000000524,2021-01-27
DT00000525,34653.57,7999-7913-4799-2404,W000000525,2019-04-13
DT00000526,26886.22,0473-4493-2167-9905,W000000526,2019-03-29
DT00000527,9853.39,4545-4081-1170-5983,W000000527,2021-08-25
DT00000528,28390.88,0457-0333-0299-9083,W000000528,2019-12-17
DT00000529,34730.02,3646-7583-5123-8535,W000000529,2022-03-14
DT00000530,22614.97,0460-3704-1027-8630,W000000530,2019-05-10
DT00000531,11122.94,0800-3066-0422-0874,W000000531,2021-02-18
DT00000532,4216.42,9917-9573-5113-1259,W000000532,2019-04-16
DT00000533,34334.62,2273-4242-5658-0037,W000000533,2021-04-18
DT00000534,17855.63,2891-2624-1870-9377,W000000534,2019-01-19
DT00000535,224.06,2915-2807-1286-6653,W000000535,2019-05-23
DT00000536,17715.72,9350-7637-7447-3995,W000000536,2021-09-25
DT00000537,8076.23,3731-8668-3444-2901,W000000537,2021-07-31
DT00000538,24200.99,1136-3687-3853-5997,W000000538,2021-11-16
DT00000539,13638.88,4132-0897-3683-7383,W000000539,2019-11-17
DT00000540,13377.39,7482-5072-0520-3233,W000000540,2021-06-01
DT00000541,16484.66,9761-7784-1603-0202,W000000541,2019-08-07
DT00000542,34072.23,5927-7939-0425-5087,W000000542,2021-09-29
DT00000543,3308.84,2082-6521-3846-1495,W000000543,2021-10-03
DT00000544,28378.21,6745-1042-9661-8627,W000000544,2021-10-31
DT00000545,927.21,2866-9718-2549-4899,W000000545,2020-01-22
DT00000546,11438.73,4304-9297-7536-6756,W000000546,2019-09-04
DT00000547,22540.13,9396-3310-0746-9238,W000000547,2020-02-27
DT00000548,28285.99,2376-0701-3300-8868,W000000548,2021-08-06
DT00000549,33297.9,7074-7180-7651-2593,W000000549,2020-01-09
DT00000550,3191.09,1816-0842-8498-6396,W000000550,2020-06-30
DT00000551,20783.49,1419-8839-1421-5452,W000000551,2019-10-24
DT00000552,18732.23,7810-0870-6983-8909,W000000552,2021-11-04
DT00000553,10597.65,6548-3544-1232-9659,W000000553,2020-07-19
DT00000554,24156.0,7870-0207-1314-1554,W000000554,2019-11-22
DT00000555,8893.75,9350-7637-7447-3995,W000000555,2021-08-04
DT00000556,26968.15,2273-4242-5658-0037,W000000556,2021-01-19
DT00000557,12713.46,3408-2107-3578-2307,W000000557,2020-03-10
DT00000558,15176.37,0374-4098-5708-9079,W000000558,2019-09-22
DT00000559,12322.36,1289-1572-1798-4236,W000000559,2021-04-29
DT00000560,14954.56,1210-1319-7779-0406,W000000560,2020-09-11
DT00000561,19616.75,9350-3969-3542-5451,W000000561,2020-10-10
DT00000562,33780.76,2249-2036-7797-7768,W000000562,2020-08-26
DT00000563,16251.2,6991-9168-4663-2531,W000000563,2021-09-08
DT00000564,13082.79,5935-7520-5031-9362,W000000564,2019-04-09
DT00000565,26076.53,5335-7517-9668-0382,W000000565,2020-12-18
DT00000566,15969.68,2249-2036-7797-7768,W000000566,2021-02-01
DT00000567,8130.9,1806-3092-2044-9915,W000000567,2019-11-13
DT00000568,7266.34,2948-3249-8731-1345,W000000568,2020-08-05
DT00000569,8115.64,5881-2402-4504-3238,W000000569,2021-08-07
DT00000570,22832.73,5749-0299-9130-3407,W000000570,2019-06-25
DT00000571,8325.05,7568-5145-1592-8450,W000000571,2020-04-13
DT00000572,12094.63,9586-1454-4894-0305,W000000572,2021-04-18
DT00000573,9997.12,5725-4419-0876-3257,W000000573,2022-02-08
DT00000574,9641.33,0993-1619-5276-7346,W000000574,2021-07-29
DT00000575,29873.89,4084-6431-3910-5019,W000000575,2021-03-19
DT00000576,2546.93,5646-7162-0428-0743,W000000576,2021-03-19
DT00000577,3165.08,9382-0179-7484-0375,W000000577,2020-08-30
DT00000578,15096.49,0056-8613-0210-9839,W000000578,2019-08-13
DT00000579,33428.49,2764-1469-4163-0628,W000000579,2019-09-13
DT00000580,20302.5,9840-4093-8115-1906,W000000580,2021-05-26
DT00000581,27238.92,4334-2073-1888-8086,W000000581,2019-03-25
DT00000582,16533.57,1944-2263-9521-1272,W000000582,2019-04-07
DT00000583,7590.93,5343-1144-9665-5341,W000000583,2019-12-21
DT00000584,22267.84,6087-1603-8436-9002,W000000584,2020-09-15
DT00000585,18259.71,7402-7379-1711-1143,W000000585,2019-12-03
DT00000586,8447.08,4418-5504-2539-1666,W000000586,2020-06-29
DT00000587,344.64,8513-6201-5105-4600,W000000587,2020-09-27
DT00000588,10604.74,3459-8789-5260-4935,W000000588,2021-11-07
DT00000589,20005.56,6630-0426-6002-8666,W000000589,2020-08-26
DT00000590,6269.44,4477-6786-2016-6670,W000000590,2020-06-29
DT00000591,2315.51,6153-5844-4609-6564,W000000591,2020-03-30
DT00000592,25993.45,1941-4893-5913-8710,W000000592,2019-08-13
DT00000593,2141.76,8773-0429-3408-2725,W000000593,2019-06-11
DT00000594,20944.33,0051-0765-2912-7711,W000000594,2019-01-20
DT00000595,10104.46,3883-8775-1953-3712,W000000595,2020-04-04
DT00000596,23838.58,4410-2772-9963-5720,W000000596,2019-08-14
DT00000597,14333.25,8404-8383-2084-6804,W000000597,2021-11-14
DT00000598,28894.55,3407-7620-6790-2887,W000000598,2021-12-31
DT00000599,20441.94,0164-4948-9694-1852,W000000599,2020-11-07
DT00000600,33577.88,3766-6954-6857-0757,W000000600,2021-01-28
DT00000601,28721.68,1699-9893-3949-3678,W000000601,2021-10-08
DT00000602,12596.3,7853-1308-2516-5082,W000000602,2021-12-10
DT00000603,32912.73,6213-7963-5248-6197,W000000603,2019-12-22
DT00000604,30325.58,1276-1631-2414-3107,W000000604,2020-10-12
DT00000605,6828.21,4150-0450-5832-8363,W000000605,2019-07-22
DT00000606,28353.12,9997-3813-2375-3699,W000000606,2021-12-15
DT00000607,2802.93,3849-2997-5962-3298,W000000607,2021-06-05
DT00000608,3824.1,8171-9006-0326-4038,W000000608,2021-03-03
DT00000609,17390.89,4005-7868-1762-3389,W000000609,2019-03-02
DT00000610,26231.57,5056-0426-2682-4902,W000000610,2021-09-04
DT00000611,9537.09,1767-9845-8783-3802,W000000611,2020-03-21
DT00000612,15498.54,8712-9749-2203-3832,W000000612,2019-01-07
DT00000613,9372.12,0963-3548-2233-3883,W000000613,2019-03-07
DT00000614,7751.68,1816-0842-8498-6396,W000000614,2019-10-10
DT00000615,21803.72,9857-3575-3796-1283,W000000615,2020-09-29
DT00000616,15306.48,2186-2081-2151-4567,W000000616,2020-08-18
DT00000617,4392.57,7089-3759-8665-6463,W000000617,2021-01-08
DT00000618,18026.52,9806-5509-2136-4790,W000000618,2021-05-14
DT00000619,8664.36,0669-6802-3239-8263,W000000619,2021-12-01
DT00000620,4498.86,8554-3608-9222-4850,W000000620,2020-11-23
DT00000621,34114.88,0553-4313-4662-9108,W000000621,2021-06-21
DT00000622,27736.26,5294-9013-2630-8760,W000000622,2020-04-20
DT00000623,5297.49,4164-1898-3021-4650,W000000623,2021-09-30
DT00000624,7599.95,8412-1633-5795-3356,W000000624,2019-04-06
DT00000625,13131.21,8033-5751-6348-1189,W000000625,2021-12-04
DT00000626,6669.51,5768-4313-1467-0119,W000000626,2021-07-10
DT00000627,19669.21,1190-2993-4050-0974,W000000627,2021-09-09
DT00000628,32449.07,6454-3634-1571-3172,W000000628,2020-02-01
DT00000629,31337.47,3270-5859-8722-1924,W000000629,2021-07-08
DT00000630,6643.29,6480-8642-7497-1745,W000000630,2021-09-13
DT00000631,32187.97,1004-0704-5117-0464,W000000631,2021-04-30
DT00000632,7024.62,9857-3575-3796-1283,W000000632,2020-02-28
DT00000633,15544.9,0721-6865-6141-2085,W000000633,2019-02-18
DT00000634,19367.34,2422-2218-9176-4050,W000000634,2020-02-05
DT00000635,17433.09,0373-2127-9342-8648,W000000635,2019-05-04
DT00000636,4322.47,6745-1042-9661-8627,W000000636,2020-04-14
DT00000637,32619.37,5324-8151-4925-2699,W000000637,2021-07-03
DT00000638,1710.24,4797-9804-0602-0050,W000000638,2021-06-13
DT00000639,28486.92,7087-9430-7185-0859,W000000639,2019-04-17
DT00000640,3163.82,0431-0744-6800-8865,W000000640,2019-12-18
DT00000641,9796.42,0441-7008-1098-8276,W000000641,2021-06-14
DT00000642,18553.96,3671-4447-9971-2355,W000000642,2019-11-19
DT00000643,12189.77,3116-9388-1268-4687,W000000643,2020-06-25
DT00000644,18216.26,3513-5959-7367-0977,W000000644,2019-08-30
DT00000645,3840.63,2626-0626-9112-0385,W000000645,2021-03-18
DT00000646,21521.08,8852-1940-8497-5277,W000000646,2021-09-10
DT00000647,33823.78,0119-9135-4715-0933,W000000647,2019-07-30
DT00000648,20998.76,5436-6843-5064-2811,W000000648,2019-07-26
DT00000649,25955.06,9696-3398-3337-0089,W000000649,2019-08-13
DT00000650,22898.01,0816-1135-6256-5779,W000000650,2021-08-10
DT00000651,16047.33,3407-7620-6790-2887,W000000651,2020-08-16
DT00000652,8292.1,9500-2333-1519-2423,W000000652,2021-04-28
DT00000653,29450.83,8511-9865-5378-5273,W000000653,2021-07-11
DT00000654,27231.54,7153-8583-6680-1668,W000000654,2019-09-05
DT00000655,12983.35,2140-0549-1786-5691,W000000655,2022-01-31
DT00000656,12636.54,1072-4624-8126-9878,W000000656,2021-07-17
DT00000657,144.68,8903-4797-3825-2475,W000000657,2020-11-15
DT00000658,33067.57,1964-2173-6947-3476,W000000658,2021-09-08
DT00000659,22666.43,7882-3055-6724-2038,W000000659,2019-10-13
DT00000660,10138.87,7128-4390-5384-7559,W000000660,2019-07-02
DT00000661,17742.57,5516-7419-1422-9447,W000000661,2019-01-09
DT00000662,23885.02,7969-3569-5736-4675,W000000662,2020-11-05
DT00000663,16219.51,2983-3796-8292-1118,W000000663,2020-10-29
DT00000664,31413.53,7666-2913-0329-3066,W000000664,2021-11-20
DT00000665,34735.58,3418-4966-6089-3696,W000000665,2020-04-12
DT00000666,28592.73,6816-1102-5821-9176,W000000666,2019-01-03
DT00000667,3549.12,7111-1236-2225-9596,W000000667,2020-02-20
DT00000668,6388.94,6576-1418-4076-3991,W000000668,2019-04-26
DT00000669,18920.69,1467-0169-8201-4460,W000000669,2020-02-09
DT00000670,10915.03,6585-0370-2907-7668,W000000670,2020-04-25
DT00000671,3706.45,1881-8566-5567-5544,W000000671,2021-03-27
DT00000672,2801.2,4362-8846-5005-6428,W000000672,2020-09-27
DT00000673,18062.32,8370-8984-8438-9834,W000000673,2019-01-16
DT00000674,7056.25,7736-4312-1444-9889,W000000674,2019-05-29
DT00000675,19444.96,1626-0378-5386-8239,W000000675,2021-12-04
DT00000676,12815.64,0408-0393-3447-0678,W000000676,2020-11-15
DT00000677,32157.94,2248-5624-3499-8588,W000000677,2019-11-15
DT00000678,15912.43,5503-8832-3016-7426,W000000678,2021-05-28
DT00000679,783.94,9969-3868-3376-3245,W000000679,2020-06-22
DT00000680,11926.74,8325-4844-8781-0663,W000000680,2019-01-01
DT00000681,21028.21,6454-3634-1571-3172,W000000681,2022-02-11
DT00000682,6772.52,8372-7257-7886-0002,W000000682,2021-11-03
DT00000683,2729.55,7341-1142-3596-8507,W000000683,2019-02-26
DT00000684,32822.01,0942-3309-7493-6842,W000000684,2020-11-09
DT00000685,26531.32,3497-9904-2768-8125,W000000685,2021-07-26
DT00000686,32098.34,2522-0602-9970-4669,W000000686,2019-06-06
DT00000687,26328.41,5914-9334-8226-4325,W000000687,2021-12-10
DT00000688,27035.1,6898-4570-8006-4771,W000000688,2021-03-10
DT00000689,6926.3,9930-3888-4704-3262,W000000689,2022-02-08
DT00000690,32839.21,7766-7078-7744-2501,W000000690,2020-02-11
DT00000691,32545.77,7128-4390-5384-7559,W000000691,2020-02-09
DT00000692,10295.26,8522-6398-4656-7979,W000000692,2020-11-10
DT00000693,17345.92,8538-6214-5893-0797,W000000693,2020-06-14
DT00000694,31609.55,6654-8885-3399-1461,W000000694,2021-02-03
DT00000695,5579.28,7074-7180-7651-2593,W000000695,2020-05-04
DT00000696,19394.6,3403-9297-6040-3690,W000000696,2019-11-04
DT00000697,25750.85,3513-5959-7367-0977,W000000697,2020-06-07
DT00000698,449.09,3291-5710-0239-8813,W000000698,2019-07-29
DT00000699,20211.12,3291-5710-0239-8813,W000000699,2021-02-18
DT00000700,11373.84,8513-6201-5105-4600,W000000700,2021-01-11
DT00000701,18747.02,2256-1448-1940-9555,W000000701,2019-08-18
DT00000702,26197.18,8529-3446-5210-5324,W000000702,2020-02-18
DT00000703,27914.43,8071-2999-8352-3524,W000000703,2019-02-23
DT00000704,18879.15,0111-0474-8283-2320,W000000704,2021-11-23
DT00000705,14942.16,9462-0862-9316-5664,W000000705,2021-11-09
DT00000706,23573.23,0299-9622-9716-6433,W000000706,2021-09-06
DT00000707,15410.68,0239-2275-9656-6913,W000000707,2021-12-03
DT00000708,7446.17,1045-3372-9110-5764,W000000708,2021-08-12
DT00000709,1617.77,5536-4974-3184-3426,W000000709,2019-06-14
DT00000710,25230.66,9442-8184-0278-7443,W000000710,2019-08-13
DT00000711,226.54,8316-3244-7044-8612,W000000711,2020-09-07
DT00000712,17719.37,1435-5781-1871-4389,W000000712,2019-12-09
DT00000713,13825.71,3403-9297-6040-3690,W000000713,2020-06-14
DT00000714,13654.45,9420-8939-6328-7696,W000000714,2022-01-19
DT00000715,5220.28,1355-0158-3046-7580,W000000715,2020-09-15
DT00000716,31222.73,3344-5890-9322-0255,W000000716,2020-01-28
DT00000717,11192.43,2720-6599-9943-7103,W000000717,2019-05-31
DT00000718,7061.24,1623-2914-7912-8432,W000000718,2021-01-05
DT00000719,25304.47,9266-2204-9244-0204,W000000719,2019-04-26
DT00000720,24654.53,3362-9345-5141-7991,W000000720,2021-08-31
DT00000721,9767.27,0882-0145-7350-6869,W000000721,2021-03-26
DT00000722,17901.78,9483-7856-4419-9492,W000000722,2020-03-05
DT00000723,3188.97,1073-4332-9921-4121,W000000723,2019-06-04
DT00000724,28272.43,0458-3503-1382-1953,W000000724,2019-04-05
DT00000725,25404.02,6462-8986-0447-4741,W000000725,2020-07-28
DT00000726,29033.99,9381-0736-6170-8025,W000000726,2020-11-12
DT00000727,10877.03,9116-0079-8560-3494,W000000727,2019-06-21
DT00000728,27453.8,1092-9693-8470-3184,W000000728,2020-02-20
DT00000729,3020.37,3618-2019-3861-6377,W000000729,2019-02-18
DT00000730,20156.01,6659-1499-6899-1760,W000000730,2019-07-22
DT00000731,16633.0,2720-6599-9943-7103,W000000731,2020-06-30
DT00000732,26534.34,5544-5341-3439-5290,W000000732,2019-01-15
DT00000733,9320.89,8314-2365-4254-4756,W000000733,2019-12-08
DT00000734,13803.2,8976-5606-5317-4984,W000000734,2019-01-17
DT00000735,11724.96,8177-2020-3143-2706,W000000735,2021-09-10
DT00000736,22104.04,7361-7141-5442-0769,W000000736,2021-05-23
DT00000737,14103.01,0056-8613-0210-9839,W000000737,2021-12-09
DT00000738,15318.0,0773-6159-1307-9141,W000000738,2021-07-21
DT00000739,7657.46,2896-2742-0062-6673,W000000739,2019-03-08
DT00000740,34248.08,5498-1099-4878-9078,W000000740,2022-02-08
DT00000741,23939.2,8470-4526-9900-6936,W000000741,2019-02-12
DT00000742,20136.39,8622-6443-4278-0996,W000000742,2019-08-02
DT00000743,2451.85,5425-1942-4900-0174,W000000743,2019-09-21
DT00000744,3388.01,0669-6802-3239-8263,W000000744,2019-12-03
DT00000745,17095.37,6006-1974-7107-8011,W000000745,2020-04-17
DT00000746,10386.72,8178-0382-1245-5948,W000000746,2020-08-31
DT00000747,8227.2,8209-8941-0314-0118,W000000747,2019-09-19
DT00000748,7230.37,9619-4209-0983-9769,W000000748,2020-05-19
DT00000749,1545.92,1835-2138-9888-8274,W000000749,2021-12-27
DT00000750,22074.73,6630-0426-6002-8666,W000000750,2020-08-21
DT00000751,10045.29,3488-1354-6886-2335,W000000751,2019-05-30
DT00000752,29798.71,6622-6761-5171-8953,W000000752,2021-07-19
DT00000753,29113.41,4586-3725-0092-7727,W000000753,2019-01-29
DT00000754,631.43,2179-7000-6014-9489,W000000754,2019-04-14
DT00000755,14350.13,0899-1199-1198-2732,W000000755,2020-03-13
DT00000756,5927.61,0779-5407-6380-4723,W000000756,2020-08-01
DT00000757,17237.19,9659-6377-5499-4698,W000000757,2020-04-09
DT00000758,7696.11,0542-9018-9037-8380,W000000758,2021-10-22
DT00000759,33149.54,4409-1347-8036-8257,W000000759,2019-08-21
DT00000760,4359.08,3458-2113-6274-3407,W000000760,2019-11-05
DT00000761,24154.44,8713-2621-9449-8913,W000000761,2021-05-14
DT00000762,10690.39,7794-6458-8449-8177,W000000762,2020-09-25
DT00000763,8768.03,2051-6113-5417-6350,W000000763,2020-04-03
DT00000764,18376.99,7138-8550-3182-4397,W000000764,2020-09-15
DT00000765,30906.04,4638-1221-7695-6165,W000000765,2020-06-28
DT00000766,29844.89,5725-4419-0876-3257,W000000766,2020-02-01
DT00000767,14728.35,7329-5813-2708-1026,W000000767,2021-05-30
DT00000768,22064.05,0562-3832-7193-7281,W000000768,2020-01-27
DT00000769,7149.97,3362-9345-5141-7991,W000000769,2022-01-12
DT00000770,9658.34,2464-2905-9055-2754,W000000770,2021-09-10
DT00000771,27153.45,3680-1406-1472-9039,W000000771,2019-07-01
DT00000772,23141.89,2676-7757-3371-6049,W000000772,2019-01-28
DT00000773,14032.69,2649-8819-0794-6558,W000000773,2020-10-23
DT00000774,24202.66,0872-5615-9412-4244,W000000774,2020-07-07
DT00000775,32079.22,9507-7712-1308-5702,W000000775,2021-12-13
DT00000776,2475.29,7664-7361-9760-3650,W000000776,2021-10-14
DT00000777,32461.43,0542-6768-3722-7543,W000000777,2021-10-13
DT00000778,32240.77,4362-8846-5005-6428,W000000778,2020-03-03
DT00000779,27746.15,9136-4899-6557-5429,W000000779,2021-11-18
DT00000780,10590.13,8325-4844-8781-0663,W000000780,2020-03-25
DT00000781,12500.01,5400-0815-8163-6745,W000000781,2021-08-29
DT00000782,19704.7,0108-8367-4476-8306,W000000782,2019-01-10
DT00000783,22472.02,0374-4098-5708-9079,W000000783,2020-02-12
DT00000784,27608.75,1569-2690-8092-2586,W000000784,2020-04-03
DT00000785,26844.5,1685-3826-9472-0957,W000000785,2019-03-10
DT00000786,12662.55,2401-2047-0827-6580,W000000786,2022-02-18
DT00000787,19979.32,1707-1285-2177-9900,W000000787,2022-03-14
DT00000788,20227.76,3650-7747-8892-2368,W000000788,2020-11-21
DT00000789,33480.72,9465-7152-9691-4939,W000000789,2019-01-16
DT00000790,16286.86,1529-7615-8340-6846,W000000790,2019-01-10
DT00000791,25934.59,3506-6507-1189-5550,W000000791,2021-10-15
DT00000792,7193.73,1179-6809-7376-5957,W000000792,2021-12-19
DT00000793,20238.25,5650-5871-5035-7782,W000000793,2019-07-12
DT00000794,27619.85,1095-3759-5657-0819,W000000794,2021-05-15
DT00000795,9340.58,9393-9857-4813-2787,W000000795,2020-05-06
