Top_up_Credit_Card_ID,Balanced,Credit_Card_Number,Wallet_ID,Top_Up_Date
CT00000398,85704.38,7517-2184-4859-1660,W000000398,2021-09-14
CT00000399,464567.39,0099-6018-0829-0780,W000000399,2020-11-10
CT00000400,958986.43,6514-2932-8608-4316,W000000400,2021-09-23
CT00000401,277897.68,0655-1831-4521-4708,W000000401,2021-04-19
CT00000402,918235.13,6558-8914-9528-0352,W000000402,2021-03-23
CT00000403,180776.57,1345-7885-3806-7844,W000000403,2019-04-01
CT00000404,580484.23,4529-3707-9818-3365,W000000404,2020-08-17
CT00000405,302792.94,5398-9535-4342-7838,W000000405,2020-10-20
CT00000406,664788.79,5299-9933-9384-2642,W000000406,2020-08-06
CT00000407,347722.26,0455-7462-6782-2220,W000000407,2019-12-25
CT00000408,775610.12,3043-5711-0302-5088,W000000408,2019-08-24
CT00000409,963203.23,2742-0068-4784-1304,W000000409,2020-06-22
CT00000410,391521.7,5973-7859-7112-4085,W000000410,2020-10-29
CT00000411,654551.76,3330-3626-6508-6017,W000000411,2020-05-22
CT00000412,805020.2,8625-7401-8020-9563,W000000412,2019-09-16
CT00000413,418764.88,4350-3017-5361-9116,W000000413,2020-04-30
CT00000414,984844.64,8822-1386-9731-2039,W000000414,2019-01-13
CT00000415,883689.13,6047-6042-6903-1476,W000000415,2021-05-10
CT00000416,419764.34,5771-1603-9650-9860,W000000416,2020-05-30
CT00000417,205754.12,1571-0980-7041-5693,W000000417,2020-06-30
CT00000418,70450.77,8974-5751-3478-8362,W000000418,2021-11-14
CT00000419,659976.21,7540-9422-3296-9858,W000000419,2020-03-31
CT00000420,305353.57,5342-5218-3504-5527,W000000420,2022-02-23
CT00000421,613945.95,0427-9550-1388-6847,W000000421,2019-06-25
CT00000422,355925.89,9962-7781-6122-5069,W000000422,2019-04-27
CT00000423,491299.75,7245-3640-9586-9649,W000000423,2022-02-26
CT00000424,338292.12,7309-5595-4991-3529,W000000424,2020-09-11
CT00000425,591794.35,7748-1690-2796-3469,W000000425,2021-08-27
CT00000426,349254.3,4478-7775-2645-6144,W000000426,2021-04-07
CT00000427,519420.7,5173-3700-7455-2056,W000000427,2019-06-12
CT00000428,135581.69,1027-6927-9037-5989,W000000428,2021-05-26
CT00000429,958033.1,5467-5211-2901-0758,W000000429,2022-01-04
CT00000430,71783.76,7415-8702-7246-9070,W000000430,2021-08-27
CT00000431,852440.77,8926-3339-8148-3142,W000000431,2019-09-25
CT00000432,727781.38,1847-0703-5496-9160,W000000432,2019-02-06
CT00000433,919683.3,6634-7847-1598-9408,W000000433,2020-04-04
CT00000434,564161.63,7953-8578-9530-4442,W000000434,2022-03-14
CT00000435,13673.09,3188-2115-7579-1096,W000000435,2022-02-21
CT00000436,336182.95,4159-4766-5271-6310,W000000436,2021-09-28
CT00000437,506053.58,8815-4421-4908-4487,W000000437,2019-01-21
CT00000438,761977.71,7653-5296-0077-2303,W000000438,2021-07-19
CT00000439,851571.59,1491-6102-0404-7643,W000000439,2020-12-28
CT00000440,375451.41,6797-7822-6858-0858,W000000440,2021-11-05
CT00000441,313394.86,8612-4433-7093-3694,W000000441,2020-03-19
CT00000442,702989.36,4898-8009-4525-5148,W000000442,2021-02-08
CT00000443,725328.26,1501-0238-2864-1920,W000000443,2019-05-23
CT00000444,597346.22,0616-2486-0188-3012,W000000444,2019-05-31
CT00000445,843974.5,7862-9953-0077-6784,W000000445,2020-12-26
CT00000446,242061.4,0455-7462-6782-2220,W000000446,2021-05-05
CT00000447,265397.08,6504-8306-3718-9531,W000000447,2020-07-16
CT00000448,501069.4,4153-8696-1226-2053,W000000448,2019-07-14
CT00000449,192473.54,8299-2815-0824-0342,W000000449,2021-12-27
CT00000450,703399.26,0883-0164-1319-0746,W000000450,2021-07-31
CT00000451,733685.68,9300-3234-9868-7510,W000000451,2020-08-06
CT00000452,84361.42,7324-9500-2177-0455,W000000452,2021-11-24
CT00000453,896784.47,1682-8250-0856-4796,W000000453,2019-05-15
CT00000454,378444.5,2248-2365-0172-9584,W000000454,2021-08-07
CT00000455,743846.05,3053-6804-8181-3292,W000000455,2020-10-26
CT00000456,397896.24,4206-1115-4548-3999,W000000456,2019-06-06
CT00000457,745974.87,3671-5910-1392-4958,W000000457,2019-03-21
CT00000458,799285.16,1321-2383-3086-6156,W000000458,2021-02-13
CT00000459,966058.59,4831-3537-6936-7584,W000000459,2020-12-03
CT00000460,642429.36,9056-1147-9212-7864,W000000460,2020-01-08
CT00000461,709495.8,6585-2281-0331-6451,W000000461,2021-04-05
CT00000462,704177.99,2195-7171-5768-2988,W000000462,2019-06-04
CT00000463,864673.36,5010-8264-7492-6034,W000000463,2019-05-29
CT00000464,154756.93,7792-5344-0534-7326,W000000464,2021-03-03
CT00000465,329426.25,0957-8420-6114-8036,W000000465,2022-01-28
CT00000466,390933.66,3285-6134-5317-4816,W000000466,2020-06-09
CT00000467,806948.42,7836-3535-2103-6273,W000000467,2021-04-30
CT00000468,351015.96,8870-4078-1204-7855,W000000468,2021-02-22
CT00000469,116612.74,8013-0892-7767-3023,W000000469,2021-04-08
CT00000470,530782.23,3233-9809-9652-3751,W000000470,2021-05-21
CT00000471,769584.75,9913-9781-2978-6572,W000000471,2019-05-16
CT00000472,117179.82,9863-7371-3830-8714,W000000472,2020-11-10
CT00000473,218383.76,0312-7621-7794-3368,W000000473,2021-01-01
CT00000474,166490.55,5424-6659-2438-6694,W000000474,2019-09-18
CT00000475,883722.76,5700-3483-6114-6062,W000000475,2020-03-15
CT00000476,309896.17,3683-7289-6130-5647,W000000476,2022-03-13
CT00000477,356266.0,0066-6780-2367-9158,W000000477,2021-12-18
CT00000478,840654.83,9523-0483-7177-2505,W000000478,2020-09-19
CT00000479,625673.28,8506-3086-5445-7607,W000000479,2022-01-11
CT00000480,369285.68,5507-3429-9959-9155,W000000480,2019-03-11
CT00000481,147860.89,4859-0772-4124-2321,W000000481,2022-03-06
CT00000482,628712.29,3126-3241-6193-9766,W000000482,2019-06-05
CT00000483,194073.61,1690-1450-5554-4211,W000000483,2019-12-28
CT00000484,396243.04,4159-4766-5271-6310,W000000484,2021-10-03
CT00000485,605185.06,6247-5449-0496-5953,W000000485,2020-05-23
CT00000486,677631.57,0566-1325-8937-8037,W000000486,2022-02-04
CT00000487,137978.63,5609-4471-1974-4436,W000000487,2021-09-11
CT00000488,899631.64,3006-7794-1303-5702,W000000488,2020-05-19
CT00000489,563949.39,9826-2885-1744-2347,W000000489,2019-01-16
CT00000490,165838.11,3861-9391-7808-3946,W000000490,2019-04-21
CT00000491,238614.55,6591-2986-9087-6313,W000000491,2021-02-11
CT00000492,276023.84,3993-7862-4564-8532,W000000492,2019-09-15
CT00000493,142241.53,2630-3724-9209-8918,W000000493,2022-01-17
CT00000494,231761.86,3285-6134-5317-4816,W000000494,2020-12-10
CT00000495,298837.25,9975-7656-2668-3685,W000000495,2021-12-22
CT00000496,462887.17,6514-2932-8608-4316,W000000496,2019-10-16
CT00000497,574379.02,4291-3900-3535-6437,W000000497,2021-05-09
CT00000498,266616.62,7427-4991-5937-9367,W000000498,2021-10-31
CT00000499,626562.19,8131-0194-0442-5564,W000000499,2019-01-20
CT00000500,48083.38,2657-4386-8572-5532,W000000500,2020-10-02
CT00000501,186952.45,3756-7566-9436-4860,W000000501,2020-03-06
CT00000502,454626.09,6373-2972-7357-4664,W000000502,2019-12-08
CT00000503,152302.94,1859-4335-7457-0260,W000000503,2019-10-21
CT00000504,122821.92,6193-6678-5662-0103,W000000504,2020-06-26
CT00000505,104101.1,7600-1549-3983-4540,W000000505,2021-12-24
CT00000506,898704.39,1148-0068-1381-0869,W000000506,2020-11-25
CT00000507,479841.12,3357-1027-8166-4680,W000000507,2022-02-25
CT00000508,967918.3,7093-2876-4305-5252,W000000508,2020-08-12
CT00000509,770616.02,7486-9460-7285-2368,W000000509,2020-09-19
CT00000510,566748.96,4921-0985-8188-9581,W000000510,2022-02-05
CT00000511,573876.77,0029-3585-6648-3096,W000000511,2021-01-12
CT00000512,415532.6,7397-7303-0436-5944,W000000512,2020-04-28
CT00000513,57862.34,9422-4634-1703-1632,W000000513,2020-06-16
CT00000514,484355.31,0312-7621-7794-3368,W000000514,2021-02-02
CT00000515,406776.22,4892-8936-3913-7366,W000000515,2022-03-07
CT00000516,787013.07,1224-4234-9056-8384,W000000516,2019-09-20
CT00000517,610494.47,8178-5655-6803-2818,W000000517,2019-09-26
CT00000518,702694.56,4478-7775-2645-6144,W000000518,2021-04-06
CT00000519,851530.88,0312-7621-7794-3368,W000000519,2021-05-22
CT00000520,940859.81,7997-2692-3375-2277,W000000520,2021-10-06
CT00000521,322086.65,0826-1097-9751-8753,W000000521,2019-02-21
CT00000522,540494.44,2282-0075-3465-9881,W000000522,2020-04-06
CT00000523,548866.17,8107-9259-5432-3725,W000000523,2019-12-19
CT00000524,70851.02,2277-7717-3594-8592,W000000524,2022-02-23
CT00000525,320505.03,2236-8865-4895-6268,W000000525,2021-12-28
CT00000526,113346.54,5373-5140-0552-3897,W000000526,2020-12-24
CT00000527,749039.22,5115-7583-5830-7948,W000000527,2022-03-06
CT00000528,75760.44,4478-7775-2645-6144,W000000528,2020-05-15
CT00000529,821250.41,7922-9600-1422-9728,W000000529,2019-03-26
CT00000530,287441.07,2284-6030-3229-6682,W000000530,2020-09-19
CT00000531,789124.87,0038-4591-7348-8687,W000000531,2021-02-04
CT00000532,432222.47,4001-4694-8750-3041,W000000532,2021-07-10
CT00000533,15082.44,0090-6275-8390-1750,W000000533,2021-06-18
CT00000534,344065.46,3502-6858-8425-6693,W000000534,2019-05-30
CT00000535,537865.27,4630-6062-0792-0000,W000000535,2021-04-25
CT00000536,697101.03,4876-9080-7040-9465,W000000536,2022-03-01
CT00000537,644689.16,4095-5002-6652-1529,W000000537,2020-08-20
CT00000538,461973.12,5099-1261-2358-6862,W000000538,2021-01-28
CT00000539,243519.92,2417-7317-2576-5317,W000000539,2021-04-15
CT00000540,820632.11,1701-7711-7383-6784,W000000540,2019-10-04
CT00000541,480315.44,5684-9575-2345-7274,W000000541,2020-08-01
CT00000542,435131.69,4734-1760-0449-0523,W000000542,2019-12-27
CT00000543,514270.05,2501-6169-2642-5028,W000000543,2019-01-31
CT00000544,636692.64,5510-6124-5932-6886,W000000544,2020-07-08
CT00000545,513646.04,4950-9304-8438-1094,W000000545,2019-04-01
CT00000546,921831.52,5630-8285-4429-7178,W000000546,2019-08-05
CT00000547,298287.73,2441-0397-5623-6060,W000000547,2021-03-11
CT00000548,703669.33,9643-8266-3474-7099,W000000548,2020-01-19
CT00000549,530308.7,2865-2005-1078-6447,W000000549,2020-10-14
CT00000550,83454.87,5311-5725-9013-8040,W000000550,2020-03-28
CT00000551,356256.05,2509-3611-0372-4830,W000000551,2021-02-04
CT00000552,503718.55,4859-0772-4124-2321,W000000552,2021-12-25
CT00000553,482822.63,1859-4335-7457-0260,W000000553,2019-02-22
CT00000554,627427.39,6590-2341-3783-1542,W000000554,2019-03-29
CT00000555,806548.66,1742-7504-0058-2797,W000000555,2022-02-14
CT00000556,928283.74,4815-8366-8690-9109,W000000556,2021-11-10
CT00000557,596637.55,1625-0713-6936-0876,W000000557,2020-08-23
CT00000558,525742.69,2657-4386-8572-5532,W000000558,2022-02-08
CT00000559,89535.91,9651-1731-5266-6333,W000000559,2020-09-28
CT00000560,731531.24,3502-6858-8425-6693,W000000560,2019-01-06
CT00000561,178823.27,4921-0985-8188-9581,W000000561,2019-07-04
CT00000562,64874.49,8506-6046-5693-6925,W000000562,2019-09-24
CT00000563,24611.34,7333-4820-2671-5978,W000000563,2021-11-20
CT00000564,469749.29,2911-2703-7387-3073,W000000564,2020-01-18
CT00000565,892064.22,8658-6675-9665-2860,W000000565,2021-06-24
CT00000566,628463.12,9063-6362-0330-9088,W000000566,2020-04-02
CT00000567,797259.9,5471-8875-0164-1319,W000000567,2021-04-28
CT00000568,711981.72,2089-1666-2013-4691,W000000568,2020-02-25
CT00000569,729050.63,5154-7888-5043-8756,W000000569,2019-04-17
CT00000570,844936.02,9414-0256-2544-2682,W000000570,2021-12-20
CT00000571,8858.96,4396-6854-0975-2994,W000000571,2020-04-10
CT00000572,351248.0,5985-6108-2023-6847,W000000572,2020-05-27
CT00000573,389274.18,2715-6584-3918-7700,W000000573,2019-02-09
CT00000574,989087.83,8799-5575-9797-9783,W000000574,2021-02-18
CT00000575,615300.55,2646-2416-0727-8379,W000000575,2019-11-17
CT00000576,758470.34,2826-4893-6661-9143,W000000576,2020-02-09
CT00000577,813377.82,8930-2733-7091-1406,W000000577,2022-01-05
CT00000578,930993.24,1591-3478-6753-9432,W000000578,2021-08-21
CT00000579,66970.39,8861-7796-2290-5033,W000000579,2021-02-22
CT00000580,180084.38,2489-2567-4009-0942,W000000580,2020-11-12
CT00000581,705390.47,6466-9399-6864-4216,W000000581,2020-04-20
CT00000582,854209.12,4699-1886-8935-0981,W000000582,2020-07-12
CT00000583,225641.22,4284-3968-5052-8661,W000000583,2021-09-25
CT00000584,355209.55,0233-9301-3770-8348,W000000584,2019-08-23
CT00000585,212587.22,9831-6980-6149-2555,W000000585,2020-12-21
CT00000586,939308.01,4021-9156-0345-8521,W000000586,2019-09-05
CT00000587,33880.5,7996-9857-3479-6496,W000000587,2019-03-04
CT00000588,782642.53,9863-7371-3830-8714,W000000588,2020-07-09
CT00000589,995896.79,0319-2899-4505-3496,W000000589,2022-02-01
CT00000590,644178.6,6047-6042-6903-1476,W000000590,2021-04-15
CT00000591,687401.18,7279-6828-1956-9879,W000000591,2021-07-30
CT00000592,909930.38,9577-3774-1799-8257,W000000592,2019-05-04
CT00000593,462536.86,1458-4029-5322-9277,W000000593,2020-06-23
CT00000594,511438.41,9987-9115-1792-1209,W000000594,2021-05-31
CT00000595,942136.94,2749-8609-2763-6931,W000000595,2021-12-13
CT00000596,952849.06,3455-6421-7669-3874,W000000596,2021-08-14
CT00000597,488822.23,3363-5411-4262-2838,W000000597,2020-03-16
CT00000598,223467.39,7953-8742-1007-6758,W000000598,2021-03-16
CT00000599,198481.12,7071-1264-5793-1205,W000000599,2020-05-30
CT00000600,936397.21,4876-9080-7040-9465,W000000600,2022-01-08
CT00000601,334875.24,8317-8217-8930-7923,W000000601,2020-11-29
CT00000602,503471.08,1859-4335-7457-0260,W000000602,2020-04-08
CT00000603,828499.39,7758-0613-8788-5192,W000000603,2022-02-27
CT00000604,881734.82,7123-3309-3420-8054,W000000604,2019-06-22
CT00000605,722007.69,7922-9600-1422-9728,W000000605,2020-12-11
CT00000606,831090.31,9835-0223-8426-9130,W000000606,2019-03-21
CT00000607,878212.94,4217-7406-9451-5574,W000000607,2019-09-14
CT00000608,917897.47,0707-9329-8414-7430,W000000608,2022-02-17
CT00000609,445995.26,2636-1519-1975-4768,W000000609,2021-01-24
CT00000610,582565.18,1319-5276-8203-8801,W000000610,2019-12-02
CT00000611,890324.92,7486-9460-7285-2368,W000000611,2020-05-19
CT00000612,885522.91,9973-3938-9787-5608,W000000612,2020-03-17
CT00000613,757962.58,7062-6530-6406-2481,W000000613,2019-09-17
CT00000614,360020.9,9399-5841-6295-0505,W000000614,2021-03-31
CT00000615,449629.41,2063-3028-6275-8721,W000000615,2019-08-24
CT00000616,140297.36,3396-8108-5983-3172,W000000616,2019-04-16
CT00000617,175197.33,2563-4127-8788-1092,W000000617,2020-06-08
CT00000618,952102.62,2184-8196-5466-2015,W000000618,2020-06-29
CT00000619,258868.03,8651-0516-9663-2443,W000000619,2021-06-21
CT00000620,686185.76,8642-1416-4238-8232,W000000620,2019-12-16
CT00000621,872032.27,9414-0256-2544-2682,W000000621,2020-11-02
CT00000622,522375.36,7931-4856-2284-0732,W000000622,2020-10-07
CT00000623,913735.69,8032-9101-3140-4833,W000000623,2022-03-06
CT00000624,997401.54,5579-3962-6250-6059,W000000624,2019-05-11
CT00000625,643068.39,4668-3338-0116-5533,W000000625,2021-07-20
CT00000626,408063.0,8680-9638-8212-2526,W000000626,2019-09-10
CT00000627,366902.49,9196-4424-9544-7297,W000000627,2019-06-18
CT00000628,407257.49,3462-9774-5169-7607,W000000628,2019-07-18
CT00000629,170195.52,9346-5245-3854-0734,W000000629,2020-11-08
CT00000630,155577.12,8545-8572-0919-1525,W000000630,2019-08-27
CT00000631,860523.6,1291-7164-0650-7181,W000000631,2021-10-26
CT00000632,862773.0,2543-6098-7870-3741,W000000632,2020-06-25
CT00000633,987162.32,4262-6108-1675-8346,W000000633,2021-01-13
CT00000634,823644.58,9780-0553-7874-3687,W000000634,2021-10-16
CT00000635,904441.81,6922-1321-8306-2586,W000000635,2019-05-26
CT00000636,359244.79,2501-6169-2642-5028,W000000636,2020-04-22
CT00000637,418284.56,1366-0749-6490-4539,W000000637,2020-10-12
CT00000638,854082.38,4465-6598-4509-1416,W000000638,2022-01-03
CT00000639,7879.09,8253-0550-6163-6994,W000000639,2019-04-07
CT00000640,763580.08,3410-0880-0976-8494,W000000640,2022-01-15
CT00000641,90454.63,3871-2281-6552-3075,W000000641,2020-03-31
CT00000642,158748.56,6154-2613-0662-3339,W000000642,2019-08-11
CT00000643,184360.07,7333-4820-2671-5978,W000000643,2020-05-01
CT00000644,145518.76,4257-6712-0209-9721,W000000644,2021-05-23
CT00000645,700510.14,7417-0034-0867-1669,W000000645,2021-03-01
CT00000646,375087.77,6333-2510-6415-1634,W000000646,2019-10-05
CT00000647,652780.65,3717-3373-7881-0387,W000000647,2020-08-14
CT00000648,216000.99,8298-3440-8349-4917,W000000648,2020-03-25
CT00000649,370958.17,6796-8931-2707-1043,W000000649,2020-07-19
CT00000650,912306.16,0458-6795-8922-8017,W000000650,2022-01-22
CT00000651,678601.8,9759-7877-2211-5630,W000000651,2019-05-02
CT00000652,546408.38,1571-0980-7041-5693,W000000652,2019-11-29
CT00000653,365334.02,9826-2885-1744-2347,W000000653,2019-10-07
CT00000654,716568.58,4787-3767-0536-2387,W000000654,2022-02-11
CT00000655,968533.28,2595-3197-3174-8816,W000000655,2020-10-09
CT00000656,349769.88,2266-4569-0941-7898,W000000656,2021-05-12
CT00000657,630812.99,6797-7822-6858-0858,W000000657,2019-02-08
CT00000658,350065.19,5544-4200-6034-4973,W000000658,2020-06-30
CT00000659,613427.29,2288-1315-2439-0887,W000000659,2021-05-13
CT00000660,854351.04,3468-8369-1620-2798,W000000660,2020-12-24
CT00000661,470319.32,5544-4200-6034-4973,W000000661,2021-06-27
CT00000662,207259.48,9573-5035-6116-5806,W000000662,2020-10-13
CT00000663,739480.89,4021-0143-0082-0502,W000000663,2019-12-11
CT00000664,317787.72,9100-9339-7189-1660,W000000664,2021-09-13
CT00000665,295900.84,1079-8448-7320-9135,W000000665,2021-06-18
CT00000666,166626.62,6446-0361-8347-4970,W000000666,2019-10-27
CT00000667,194040.2,8983-0872-5561-7283,W000000667,2022-03-02
CT00000668,225377.42,6504-8306-3718-9531,W000000668,2021-09-27
CT00000669,46642.3,6731-3353-1545-4731,W000000669,2021-08-11
CT00000670,89802.54,6295-8165-1884-4182,W000000670,2019-12-17
CT00000671,660021.08,7101-4706-3575-5318,W000000671,2020-06-11
CT00000672,265847.9,4729-2220-3068-5139,W000000672,2020-06-11
CT00000673,674902.51,8121-1037-6291-2608,W000000673,2020-09-14
CT00000674,68661.16,1480-6399-0025-7160,W000000674,2020-10-12
CT00000675,557432.59,4798-9819-0926-4922,W000000675,2021-04-08
CT00000676,132388.86,6237-3198-6722-9159,W000000676,2020-02-24
CT00000677,758715.33,3717-3373-7881-0387,W000000677,2019-04-10
CT00000678,261269.25,7725-8374-8697-7936,W000000678,2019-05-26
CT00000679,465936.88,1773-2363-4101-0761,W000000679,2019-03-04
CT00000680,221215.53,0495-9600-7177-4328,W000000680,2020-02-15
CT00000681,838304.41,3233-9809-9652-3751,W000000681,2021-12-07
CT00000682,829731.9,9318-8989-9319-9105,W000000682,2020-05-21
CT00000683,467265.68,8296-7286-6992-5220,W000000683,2020-11-30
CT00000684,385179.08,3468-8369-1620-2798,W000000684,2019-09-14
CT00000685,600698.13,3632-5953-8137-0536,W000000685,2019-07-30
CT00000686,633437.25,0038-4591-7348-8687,W000000686,2020-03-22
CT00000687,640555.05,4783-9818-6541-1175,W000000687,2022-03-14
CT00000688,689883.67,8699-9000-5664-9814,W000000688,2019-09-09
CT00000689,661966.61,5551-4953-7535-5430,W000000689,2019-05-26
CT00000690,355524.97,3073-1035-3596-9518,W000000690,2019-08-20
CT00000691,89453.37,0492-9316-5888-8225,W000000691,2019-08-30
CT00000692,521052.93,3393-6837-1947-8537,W000000692,2019-07-01
CT00000693,761497.41,4482-8557-9619-2794,W000000693,2021-12-31
CT00000694,528995.72,8852-4657-1065-7202,W000000694,2021-06-03
CT00000695,166945.09,3554-8025-1163-4574,W000000695,2020-08-29
CT00000696,163977.05,5639-6324-4608-0831,W000000696,2019-09-19
CT00000697,666811.5,0158-5245-6344-1416,W000000697,2020-09-27
CT00000698,86394.86,4149-6108-2896-2761,W000000698,2020-10-11
CT00000699,421400.44,4017-1596-5407-0193,W000000699,2021-03-18
CT00000700,999883.05,9029-9928-0720-6575,W000000700,2020-11-26
CT00000701,758825.32,9643-8266-3474-7099,W000000701,2019-04-21
CT00000702,539735.51,1254-8026-6553-2027,W000000702,2020-07-09
CT00000703,440189.63,7812-3688-5245-1622,W000000703,2020-11-04
CT00000704,388064.47,3429-9193-0247-0053,W000000704,2020-11-30
CT00000705,453348.58,3438-3736-1712-9134,W000000705,2020-03-23
CT00000706,282023.71,7748-7469-2713-8637,W000000706,2020-10-16
CT00000707,282718.27,4892-8936-3913-7366,W000000707,2021-09-04
CT00000708,737257.49,6268-0832-2696-5632,W000000708,2020-04-29
CT00000709,783493.96,1109-2230-2852-6429,W000000709,2021-06-01
CT00000710,901476.97,1399-2868-1027-6749,W000000710,2022-01-06
CT00000711,831403.07,8678-5476-1827-9048,W000000711,2021-08-10
CT00000712,238402.25,8494-8907-9469-3008,W000000712,2021-06-29
CT00000713,847297.12,7117-5312-3797-6774,W000000713,2020-10-16
CT00000714,913212.94,1254-8026-6553-2027,W000000714,2019-05-09
CT00000715,464425.95,8943-4260-7397-0184,W000000715,2020-07-09
CT00000716,899126.83,6945-9410-8917-8343,W000000716,2019-12-03
CT00000717,141477.36,8317-8217-8930-7923,W000000717,2020-08-12
CT00000718,894901.26,2603-9851-1800-9172,W000000718,2021-01-08
CT00000719,756828.71,0253-6791-0136-6718,W000000719,2021-06-03
CT00000720,128950.52,0707-9329-8414-7430,W000000720,2021-02-17
CT00000721,102820.05,8916-7192-4736-4820,W000000721,2019-07-27
CT00000722,443559.66,7886-3251-2575-7985,W000000722,2019-02-26
CT00000723,86909.84,2292-6377-3069-6231,W000000723,2021-12-02
CT00000724,125756.86,1949-4580-7630-3220,W000000724,2020-04-06
CT00000725,350566.24,8416-2908-6537-7091,W000000725,2020-04-17
CT00000726,414128.76,2657-4386-8572-5532,W000000726,2020-10-25
CT00000727,208552.6,1532-5664-3544-2650,W000000727,2020-02-05
CT00000728,72735.66,3857-2706-3567-7255,W000000728,2019-06-03
CT00000729,115585.75,0558-0655-6120-2032,W000000729,2020-08-21
CT00000730,292663.23,4783-9818-6541-1175,W000000730,2019-05-03
CT00000731,481231.8,5152-0650-5273-6697,W000000731,2020-02-28
CT00000732,341823.46,8753-4363-1666-3932,W000000732,2021-06-28
CT00000733,546439.37,7417-0034-0867-1669,W000000733,2020-05-11
CT00000734,444833.04,9792-0915-2455-1883,W000000734,2020-02-09
CT00000735,87894.41,4214-9669-9477-8862,W000000735,2019-10-30
CT00000736,815021.79,1430-0038-9338-6183,W000000736,2021-06-16
CT00000737,979737.69,5910-5855-8963-7112,W000000737,2021-12-03
CT00000738,5336.14,1644-7104-3570-6624,W000000738,2021-11-29
CT00000739,37596.76,1625-0713-6936-0876,W000000739,2019-09-30
CT00000740,614015.71,0423-3850-2016-2630,W000000740,2019-11-23
CT00000741,354839.12,4551-7599-0593-9439,W000000741,2019-03-09
CT00000742,576168.51,9029-9928-0720-6575,W000000742,2021-10-08
CT00000743,737750.6,6246-6485-6783-2122,W000000743,2020-02-26
CT00000744,334581.77,0299-5966-2495-4116,W000000744,2021-05-26
CT00000745,406726.87,4502-7627-6011-1789,W000000745,2019-09-05
CT00000746,713211.75,2478-9906-2712-4488,W000000746,2019-02-16
CT00000747,654130.15,2811-4579-0118-0796,W000000747,2020-03-07
CT00000748,403447.52,8078-0696-6411-5885,W000000748,2019-06-07
CT00000749,695100.89,2277-7717-3594-8592,W000000749,2020-01-26
CT00000750,141190.3,9324-7564-5103-9232,W000000750,2020-02-29
CT00000751,158095.17,0423-3850-2016-2630,W000000751,2020-06-30
CT00000752,780713.05,9008-5731-4020-3487,W000000752,2020-02-05
CT00000753,400819.11,8149-6627-3875-6867,W000000753,2022-03-12
CT00000754,157572.52,4888-4712-3797-4957,W000000754,2020-07-22
CT00000755,935497.93,1643-4152-9165-6737,W000000755,2019-10-26
CT00000756,238113.15,8307-0314-9703-5695,W000000756,2021-11-12
CT00000757,363552.61,1166-4135-4559-1804,W000000757,2019-01-11
CT00000758,401880.42,7996-9857-3479-6496,W000000758,2019-02-15
CT00000759,101655.35,0306-8293-6140-0947,W000000759,2020-11-08
CT00000760,610284.36,1967-9063-8384-4226,W000000760,2019-06-03
CT00000761,524753.03,1991-4754-9192-8584,W000000761,2022-02-07
CT00000762,56531.89,1682-8250-0856-4796,W000000762,2022-01-15
CT00000763,450449.2,3671-5910-1392-4958,W000000763,2020-10-27
CT00000764,22419.63,7748-7469-2713-8637,W000000764,2020-02-28
CT00000765,833911.09,4255-7004-6388-7575,W000000765,2019-10-19
CT00000766,954538.42,2014-6166-0889-4139,W000000766,2020-04-03
CT00000767,234214.4,8822-1386-9731-2039,W000000767,2019-01-02
CT00000768,556767.93,0826-1097-9751-8753,W000000768,2020-06-25
CT00000769,295598.95,4463-0980-1585-3322,W000000769,2020-04-28
CT00000770,62045.32,1591-3478-6753-9432,W000000770,2019-06-07
CT00000771,613643.97,5639-6324-4608-0831,W000000771,2021-03-19
CT00000772,280152.51,5863-8019-2435-1110,W000000772,2020-04-19
CT00000773,966881.42,1970-3159-0702-0451,W000000773,2019-02-20
CT00000774,150367.74,7953-8742-1007-6758,W000000774,2021-08-04
CT00000775,967986.92,8981-2165-9538-4862,W000000775,2019-09-04
CT00000776,914706.68,0195-8566-9779-0481,W000000776,2019-02-18
CT00000777,630715.73,9913-9781-2978-6572,W000000777,2019-10-25
CT00000778,798412.32,3942-1991-2820-9916,W000000778,2019-01-29
CT00000779,367907.23,6276-9837-6732-3930,W000000779,2020-02-12
CT00000780,191512.5,0502-7245-2046-7446,W000000780,2020-06-21
CT00000781,296747.89,2996-5199-1109-7612,W000000781,2019-03-30
CT00000782,18076.81,5429-6959-4196-2273,W000000782,2020-12-02
CT00000783,210843.86,3503-4108-8431-2902,W000000783,2021-12-20
CT00000784,240876.28,8067-4485-6947-1555,W000000784,2020-04-15
CT00000785,594743.82,4108-6787-2199-5024,W000000785,2021-09-10
CT00000786,657170.61,8107-9259-5432-3725,W000000786,2021-10-13
CT00000787,915208.54,0318-1864-8367-4491,W000000787,2019-02-05
CT00000788,59086.04,6453-8831-9423-3648,W000000788,2020-06-23
CT00000789,203553.43,1991-4754-9192-8584,W000000789,2021-11-17
CT00000790,877088.04,7559-0199-1865-2289,W000000790,2021-04-19
CT00000791,829263.64,9451-8338-0312-2857,W000000791,2021-02-28
CT00000792,842395.65,2379-4878-6729-6985,W000000792,2021-06-15
CT00000793,510569.44,7887-4881-0793-2782,W000000793,2022-01-19
CT00000794,389778.62,3659-5798-5517-0444,W000000794,2019-11-02
CT00000795,686469.09,7776-7365-4190-2822,W000000795,2019-12-17
